Document,Topic,pos dataset 10K (starting from 0)
"la gpa est le summum du business de la procréation, car c’est la vente et l’achat d’un enfant. c’est un trafic d’êtres humains. les enfants ne doivent faire l’objet d’aucun trafic. la femme n’est pas un moyen de production.",gender,53
"une femme ne vous aime jamais pour “qui vous êtes”. elle vous aime pour le statut que vous lui apportez, le style de vie que vous lui offrez, le divertissement que vous lui procurez.",gender,62
"sur la polémique autour de la gpa lancée par , ludo rappelle sur que cette pratique consiste à ""louer une femme, l'utiliser comme incubatrice, pour qu'elle produise un enfant au profit d'un tiers. c'est une exploitation de la femme.""",gender,121
voici les cadeaux pour ces enfants qui ne partent jamais en vacances. je les accueille à aujourd’hui. 200 familles monoparentales .:red_heart::zany_face::red_heart:,gender,134
"en fait quant t’es un homme, il faudrait que tu fasses signer un contrat à ta partenaire à chaque fois que tu veux coucher avec elle parce qu’entre deux rounds elle peut changer d’avis et t’accuser de viol. ridicule et totalement insupportable.",gender,146
"conseillère municipale de vitry, elle appelle au meurtre d’autres femmes.",gender,175
"la pensée totalitaire, qui fait passer des mensonges pour des vérités, a de plus en plus d’alliés complaisants. les médias ""progressistes"", enrôlés par la propagande lgbt+, sont de ceux-ci quand ils cautionnent la fiction de l'homme enceint.",gender,183
":green_circle: bizarrement, sandrinerousseau est beaucoup moins féministe lorsqu’il s’agit de dénoncer le viol de cherbourg ou lorsqu’elle siège dans le même intergroupe qu’un député condamné pour violences conjugales… :clown_face: endométriose directan",gender,252
"elle doit toujours craindre de perdre un homme de qualité, peu importe la valeur que vous ayez réellement. c’est la clé d’un couple qui dure.",gender,257
"européennes2024 &gt; l’union européenne, signataire de la convention d’istanbul, s’est engagée à lutter contre les violences faites aux femmes. proposition n°13 relative à la gpa :backhand_index_pointing_down::link:",gender,286
":red_circle: se mettent en ordre de bataille pour perdre aux européennes2024 ! toute compromission avec la gpa, pratique injuste pour les enfants et qui consiste à exploiter les femmes, sera sanctionnée. cc",gender,331
"celui des deux qui est le plus détaché dans la relation, c’est celui qui détient le plus de pouvoir. ayez toujours moins besoin d’elle qu’elle n’a besoin de vous.",gender,417
"en 2024, selon « le coin des lgbt » une lesbienne c’est ça. alors on pourrait en rire, sauf que ce compte est si influent que qui est ministre chargée de l'egalité entre les femmes et les hommes… a exprimé dans un tweet adressé à ce compte son souhait de «…",gender,427
":red_circle: « on a cherché à adapter, à plier le corps de la femme aux conditions du marché et de l’économie, alors qu’il aurait fallu faire l’inverse » revient sur la façon dont les féministes ont réussi à asservir les femmes au salariat. :movie_camera:",gender,430
"le front populaire a remplacé la candidature de quatennens, auteur de violences conjugales, par amy bah, qui cautionne un appel à tuer les « transphobes ». la haine mais avec le sourire et des paillettes :sparkles: :transgender_flag:",gender,440
cette extrême-gauche auto-proclamée féministe pour laquelle la polygamie n’est pas un problème…,gender,443
"""la violence faite aux femmes"", dénoncent-elles. sauf là....soutien à , et honte aux féministes silencieuses.",gender,495
"une femme veut être désirée par un homme, mais pas indispensable à ses yeux. les hommes qui dépendent affectivement des femmes sont repoussants et ennuyants.",gender,544
"en général, celles qui s’insurgent en disant que « toutes les femmes ne sont pas comme ça » se sentent précisément concernées par le propos en question.",gender,574
":netherlands: lale gül, libre, vraiment ? son premier livre avait défrayé la chronique aux pays-bas. depuis, la jeune femme se sent menacée",gender,578
"a l'occasion de la journée internationale des droits des femmes le 8 mars, le syndicat de la famille a décidé de mettre des femmes d'exception à l'honneur. pour réaffirmer une évidence qu'il est utile de rappeler : on naît femme... et on le devient !",gender,604
"si elle dit s’habiller « pour elle », traduisez qu’elle n’assume pas d’être une allumeuse tchoinflation",gender,636
"en effet ça marche dans les comics et sur netflix mais dans la vraie vie ça peut devenir très dangereux pour ces femmes, leurs collègues, les requérants, etc.",gender,647
". : ""peut-être aussi parce que je suis une femme, je crois profondément aux médiations, à changer notre rapport au pouvoir, vers l'apaisement""",gender,694
":alarm_clock: ce soir, à 19h45, nous vous révélons le visage d'un témoignage central de notre livre transmania. alexandra est née avec des chromosomes sexuels xxy. elle nous a parlé de ce trouble sans tabous, et de son ras-le-bol du transgenrisme. abonnez-vous :backhand_index_pointing_right:",gender,700
"contre-feu de paille : la gaumont prépare une série sur brigitte la série va s’appeler brigitte, une femme libre. on se demande si c’est sérieux. déjà, le titre sent la légende boiteuse. égalité et réconciliation",gender,805
"en publiant un livre sur les dérives de l’idéologie transgenre, les féministes dora moutot et marguerite stern témoignent combien défendre le simple constat de la biologie est aujourd’hui transgressif.",gender,807
"si elle ne pleure pas des semaines durant après que vous ayez rompu, si elle ne réduit pas sa vie sociale, et ne s’enferme pas chez elle pendant des jours, c’est que vous ne signifiez rien à ses yeux. votre absence ne change rien à sa vie.",gender,825
"c'est assez amusant d'apprendre les émois de , elle qui fut une des premières à la fi à utiliser avec son équipe le dénigrement, les insultes, les allusions douteuses sur les réseaux sociaux. domaine dans lequel elle surclasse largement pierre mendès-france.",gender,954
"et oui les transgenristes hurlent à la transphobie, sauf qu’au contraire, les gens qui lisent notre livre comprennent grâce à lui que la dysphorie est un véritable problème de santé.",gender,961
christine kelly dans le jdd : “la france de l’espérance”,gender,1052
"""d’origine berrichonne, raymonde vincent (1908-1985) obtient en 1937 le prix femina pour son roman campagne, vendu à plus de 100 000 exemplaires...""",gender,1061
livreblanc &gt; les recommandations de lsf pour l'abolition de la gpa : :keycap_5: réaffirmer la souveraineté nationale de chaque etat en matière d’interdiction de la gpa qui est une atteinte aux droits de l'enfant et une violence faite aux femmes.,gender,1129
"« une terf, une balle » : marguerite stern et dora moutot (transmania) menacées de mort - par transmania les deux jeunes femmes peuvent compter sur le soutien de j. k. rowling, l'auteur de la saga harry potter.",gender,1202
"la gpa et le commerce des gamètes constituent une exploitation reproductive des femmes, des hommes et des enfants, comme le démontre le livre blanc que nous sommes venus présenter à genève à l'occasion de la 53e session du comité des droits de l'homme. nous appelons l' à",gender,1245
":studio_microphone:""personne ne s’est intéressé au fond du travail des femmes élues, on est en droit de faire le bilan des femmes en politique."" :books: la journaliste de cnews christine kelly publie ""femmes en politique : premier bilan"" - entretien avec :right_arrow_curving_down:",gender,1267
"livreblanc &gt; les recommandations de lsf pour l'abolition de la gpa : :keycap_4: stopper toutes les prétendues tentatives d’encadrement international de la gpa qui, en fait, seraient une reconnaissance détournée de la gpa : la :france: doit dénoncer les travaux de la conférence de la haye.",gender,1290
jeudi volant sur 12/14h. série noire chez boeing aviation : michel polacco explique. france de plus en plus orange mécanique ? décrit.les nombreux tanguy pourront-ils célébrer la fête des mères? et le remède de daniel schiffer contre le woke: le rock!,gender,1323
"« vous nous laissez l’interroger ? » au delà de sa campagne, cette humiliation de valérie hayer est un message catastrophique pour toutes les femmes qui s’engagent politiquement. gabriel attal a dépassé toutes les bornes.",gender,1401
"on a le droit de dire que les gonzesses racontent des trucs inintéressants seulement si on est de gauche, sinon c’est du sexisme.",gender,1511
"à tous mes followers à gauche ou au centre du monde féministe qui viennent se plaindre et communiquer leur déception quant à mes interactions avec la droite, voici ce que j'ai à vous dire : ( pour me suivre sur instagram :",gender,1546
pour rire un peu,gender,1565
la gaypride ce n’est plus seulement l’arrogance gay c’est aussi l’arrogance trans. avec l’argent public des associations subventionnées,gender,1615
"la pratique de la gpa est illégale, interdite en france. et le parlement européen parle majoritairement de traite d’êtres humains. les ministres macronistes qui veulent imposer la gpa sont hors la loi. ils devraient démissionner. leur méprisante et insultante réaction est la",gender,1625
"cher gouvernement , cher . je vous invite à réfléchir à ce que signifie « être soi » dans le cadre du transgenrisme. dans le transgenrisme, ce qu’on fuit, c’est justement être soi, pour devenir ce quelqu’un d’autre, cet alter ego fantasmé, que l’on ne…",gender,1630
"ces hommes réduisent violemment deux jeunes femmes au silence, mais ils sont de gauche, donc ça va. la ""justice sociale"" est un totem d'immunité.",gender,1692
pourquoi est-ce qu’un homme devrait remplir le rôle traditionnel de payer l’addition si la femme ne remplit pas le rôle traditionnel de faire la cuisine et le ménage ?,gender,1696
"si je dis que les hommes sont tendanciellement plus violents que les femmes, ça ne choque personne. mais si je dis par exemple que les femmes sont tendanciellement plus manipulatrices : « comment oses-tu dénigrer les femmes ! » :face_with_symbols_on_mouth::face_screaming_in_fear: serions-nous exemptes de tout défaut ?",gender,1705
"""la gpa ne peut pas être encadrée pour une raison simple : on n’encadre pas l’inacceptable, on le combat."" déclaration complète du syndicat de la famille suite aux déclarations de .",gender,1706
"lors des manifestations du front populaire, il y avait des propos choquants envers les forces de l'ordre, envers les électeurs du rn, et des propos qui culpabilisent les gays qui pourraient voter le rassemblement national.",gender,1739
"le transgenrisme est un danger :no_entry: avec , nous continuons à nous engager contre. demain, nous lançons une chaîne youtube pour diffuser des témoignages que vous n’entendrez jamais dans les médias mainstreams :collision: nous avons reçu certaines personnes dont les témoignages",gender,1745
je suis devant pour regarder bistrot libertés mais plus encore pour soutenir et lâchement harcelées et prises à partie. beaucoup de choses me séparent de ces jeunes femmes auteurs mais il faut saluer le courage et la lucidité. merci !,gender,1747
"dans la lignée de transmania :transgender_flag:( car on est du genre a pas lâcher l’affaire ), dans les jours qui viennent, et moi on va vous parler de notre nouveau projet ! on espère que ça va vous plaire et que ça fera du bruit ! :collision:",gender,1779
"rarement vu autant de mépris dans une interview. cette femme se prend pourtant féministe mais pour elle, on hiérarchise la violence.",gender,1790
"l’ivg dans la constitution reconnaît ""la liberté garantie à la femme"" d’y avoir recours. or ce droit était acquis. sa sacralisation s’imposera aux autres libertés qui permettaient aux religieux de critiquer l'acte et à des médecins de se prévaloir de leur conscience. cette…",gender,1832
pourquoi les femmes vivent plus longtemps :,gender,1844
"« il n’y a pas de féminisme sans les femmes trans », dixit parlant de transmania. dites, madame malagré, avez-vous partagé cette brillante analyse avec des athlètes féminines qui perdent toutes leurs compétitions face à des femmes trans, c’est-à-dire des hommes…",gender,1849
"elle n’est ni spéciale, ni unique. c’est votre affection pour elle qu’il l’a rendue ainsi à vos yeux, vos souvenirs, l’énergie que vous lui avez dédiée. quelle qualité avait-elle qu’aucune autre ne posséderait ? aucune. ne vous torturez pas à son égard. allez de l’avant.",gender,1866
"football : la ""lutte contre l'homophobie"" se complique ! - par sarah-louise guille football homophobie contrairement à la lutte contre le racisme, celle contre l’homophobie ne fait pas consensus dans le football...",gender,1946
"le projet de l'ue est de dire : ""si vous êtes parents dans un pays, vous êtes parents dans tous les pays !"" le projet de certificat de parentalité date d’il y a un an... le but est de l’imposer à tous les pays qui refusent la gpa ou la pmasanspère.",gender,1976
"non , la femme n'est pas une marionnette pas plus qu'elle n'est un objet de propagande.",gender,1982
"les femmes asiatiques ont rattrapé (et désormais dépassé) l'homme blanc sur l'échelle des salaires (américaine, je suppose ?)",gender,2014
"l'horreur de la gpa racontée par une de ses victimes. pour redire notre opposition ferme à cette pratique et empêcher l'europe de nous l'imposer, rendez-vous le 16 novembre à paris. :raised_fist:",gender,2017
communiqué &gt; :european_union: la gpa a été définitivement reconnue comme une forme de traite humaine. c'est un 1er petit pas. mais les droits et la dignité des femmes et des enfants ne peuvent souffrir de la moindre ambiguïté. il faut aller plus loin : l'abolition !,gender,2041
"donc une femme qui accouche ne serait plus qu'une ""personne ayant accouché"" et ne serait plus reconnue comme femme et comme mère ? régression de la société, invisibilisation des femmes et des mères, conséquences des délires de l'idéologie gender/trans.",gender,2099
"si les hommes veulent s’amuser avec toi (et ne veulent pas s’engager), c’est que tu portes à cela, ou que tu ne vises pas ceux de ta catégorie. fâchez-vous comme vous voulez, ce n’est pas moi qui fixe les règles. :woman_shrugging_medium-light_skin_tone:",gender,2140
"vous avez aimé notre livre transmania ? vous y avez découvert alexandra, une personne intersexe qui s'oppose à l'idéologie transgenre. elle inaugure notre nouvelle émission de témoignages ""contre discours sur les questions de genre"" sur la chaîne youtube de et…",gender,2206
"l’offre de livres « queer-trans » est démentielle dans les librairies, comme le montre cette vidéo. mais par contre transmania qui offre une critique appronfondie de cette propagande est souvent introuvable…",gender,2208
"philippe de villiers ne s'en prend pas à l'orientation sexuelle de gabriel attal. il s'en prend à l'inattaquable lobby lgbt. mais il est aujourd'hui tellement plus facile et jouissif d'interpréter une phrase plutôt que de la comprendre. montrez-leur la lune, ils regarderont le",gender,2256
"tiens, c'est marrant, c'est comme si ça me rappelait quelque chose",gender,2276
"regardez l'interview de alexandra, personne intersexe passionnante sur le youtube de notre nouvelle chaine",gender,2300
"la triste réalité, c'est que les femmes d'aujourd'hui veulent des relations toxiques. elles aiment les hommes distants et froids. elles aiment les hommes qui ne font pas d'elles une priorité. elles aiment les hommes arrogants. la chevalerie, c'est fini.",gender,2348
"les hommes vieillissent comme le bon vin, les femmes vieillissent comme le lait. les femmes ont beaucoup d'options jeunes, mais ces options diminuent avec le temps. :chart_decreasing: les hommes ont peu d'options jeunes, mais ces options augmentent avec le temps. :chart_increasing: je ne fais pas les règles.",gender,2363
cette application a détruit toute une génération de femmes :,gender,2477
femme moderne moyenne : - enchaîne les relations - se marie à 30 ans passé - a 1-2 enfants maximum - arrête de coucher avec son mari - prend du poids et se laisse aller. pas étonnant que les hommes se désintéressent du mariage de nos jours.,gender,2480
les femmes sont programmées biologiquement à désirer des hommes qui leur sont supérieurs. et c’est une bonne chose.,gender,2489
"« il est très important qu’il y ait cette rencontre entre hommes et femmes, parce qu’aujourd’hui, le pire danger est l’idéologie du gender qui annule les différences », a déclaré le pape françois.",gender,2497
"le ""certificat européen de parentalité"" vise à faire reconnaître par tous les etats membres de l’ue la pmasanspère et la gpa : dès lors qu’ils sont reconnus dans un pays, ils devront l’être dans tous les autres. non à l'ingérence de l':european_union: en matière familiale et sociétale !",gender,2507
"non , le féminisme, c'est pour défendre les droits des femmes = des femelles adultes humaines. une femme n’est ni un homme castré, ni un homme qui aime les jupes, ni un homme mal dans sa peau qui déteste la masculinité et son corps, ni un homme qui est excité à…",gender,2536
bonne fêtedesmères à toutes les mamans de france !,gender,2544
"si elle se permet de vous manquer gravement de respect, c’est qu’elle ne vous voit pas comme sa meilleure option. elle pense qu’elle peut se permettre de vous perdre. si elle dépasse les bornes : faites-lui regretter son comportement en partant sans vous retourner. :waving_hand_light_skin_tone:",gender,2645
j’ai ri :face_with_tears_of_joy: il arrive parfois aux transgenristes d’être assez golri,gender,2648
"les transgenristes disent qu’être une femme est un genre et un sentiment. selon cette logique, il faudrait aussi rebaptiser le sexisme « genrisme », et l’homosexualité « homogenréité ».",gender,2672
les concours de beauté sont une cible de choix de l’idéologie woke. voici pourquoi,gender,2677
"bonne nouvelle pour les femmes et les enfants, aux portes de la france ! tolérance zéro quand il s'agit de trafic international d'êtres humains ! les couples qui commandent des enfants par gpa asservissent des femmes.",gender,2692
"""dans ces temps de tromperies universelles dire la vérité devient un acte révolutionnaire."" (extrait de 1984 d'orwell, publié en 1949) visionnaire sur le monde d'aujourd'hui : oser dire une vérité universelle -un homme est un :male_sign:, une femme est une :female_sign:- devient héroïque.",gender,2735
"ludo : ""chers parlementaires, osez, bougez, agissez, écrivez enfin la véritable histoire d’un féminisme réel et concret, écrivez l’histoire d’une défense ardente des plus vulnérables, les enfants !"" gpa",gender,2802
fête des mères aujourd'hui. n'oubliez pas ;) je nous connais les mecs. on oublie tout en dehors de la date de la finale de la coupe du monde tous les 4 ans.,gender,2809
"un homme a davantage à offrir à une femme dans sa trentaine, une femme a davantage à offrir à un homme dans sa vingtaine.",gender,2886
"faites-vous partie de ces hommes qui rêvent des femmes d’europe de l’est ? ces femmes qui seraient belles, traditionnelles, non-féministes et qui voudraient fonder des famille. :family_man_woman_girl_boy: opportunité de rêve ou piège pour naïfs ? mon avis en vidéo :right_arrow_curving_down:",gender,2924
les ruptures détruisent les femmes. les ruptures construisent les hommes. maintenant vous comprenez pourquoi le passé affectif n’a pas la même importance chez les unes que chez les autres.,gender,2945
in memoriam. comment te dire adieu. le premier 45 tour que j’ai offert à celle qui sera mon épouse. « tous les garçons et les filles de mon âge ».,gender,2955
"« des femmes qui m’ont touchée? rachida dati, carole delga, marion maréchal.. » femmesenpolitique",gender,2977
"mon cousin vient de me téléphoner pour me dire qu'il me désinvitait de son mariage car selon sa meuf ""il y a plus de 2 sexes"" (lol) et que je suis une facho. ils devaient avoir peur que je retourne le cerveau à leurs potes gauchos devant les profiteroles.",gender,2980
"découvrir « clair de femme », de romain gary",gender,2995
"avis définitif : la gpa, c'est un outil du capitalisme de la gestation : c’est l’exploitation des corps des femmes, la marchandisation de la reproduction, le renforcement des inégalités, le contrôle des corps de femmes marginalisées ou esclaves et donc la perpétuation des",gender,3049
"transmania, un homme addict au porno sissy qui a transitionné en ""femme"" explique: ""quand l'hypnose sissy prend le pas sur ta vie, que tu prends des hormones féminines depuis 6 mois et que tu te sens de moins en moins ton ancien toi et de plus en plus n'être rien de plus qu'une…",gender,3076
le pic d’attractivité des femmes est à 20 ans le pic d’attractivité des hommes est à 30 ans.,gender,3084
"l’historien yves chiron publie ""les dix conclaves qui ont marqué l’histoire"" (perrin). où l’on voit que l’histoire de l’eglise n’est pas un long fleuve tranquille… entretien.",gender,3109
":raised_fist: mobilisation le jeudi 16 novembre à 19h à paris contre le projet de ""certificat européen de parentalité"" qui est une tentative déguisée pour contraindre les états membres à reconnaître les gpa pratiquées à l’étranger.",gender,3120
"l'ex femme d'un homme qui a transitionné en femme raconte: ""mon ex m'imitait. il imitait mes manières et mon rire. il copiait ma coiffure et ma couleur de cheveux. même son opération du nez ressemble à mon nez. il portait mes vêtements. il me regardait faire mon maquillage. je…",gender,3123
"la théologienne marion muller-colard publie la vie funambule. portrait d’une femme de lettres inclassable, rencontrée dans la maison d’édition qu’elle dirige, à genève.",gender,3125
"peut-être que justement les hommes ne veulent pas de femmes « cools, fortes et indépendantes ». un homme veut rassurer, protéger et se sentir utile. soit tout ce que ne permettent pas les femmes modernes.",gender,3134
"elles ne l'exprimeront probablement jamais, car cela leur échappe souvent, mais les femmes tendent à rechercher un homme qui les cadre et les canalise. soyez cet homme-là, et elle vous respectera et vous chérira toute votre vie.",gender,3210
merci à vous ! hâte que les choses bougent en france et que les femmes ne puissent plus se faire menacer de mort et insulter à tout va car elles défendent la réalité biologique.,gender,3226
louiz est tout simplement un homme aux goûts très féminins qui se sent si mal à l’aise dans les stéréotypes masculins que la société a tendance à imposer qu’il préfère dire qu’il est une femme pour obtenir acceptation et validation. il n’est pas une femme et ne le sera jamais…,gender,3281
c’est fou cette tendance des femmes modernes à toujours tout ramener à soi et vouloir systématiquement être le centre d’attention de tous les sujets… même quand ça n'a aucun rapport.,gender,3328
attention : les féministes accréditées ne vont pas s'emparer de cette information.,gender,3349
"c'est le ""totalitarisme d'atmosphère"" selon foot homophobie",gender,3351
"le slogan favori de la secte hyper violente queer-trans : « sauve 1 trans, tue une terf ». voir le post épinglé en haut de ma page. c’était taggé dans les rues de paris.",gender,3377
la bague et la cérémonie de mariage comptent davantage aux yeux des femmes modernes que l’homme qu’elles épousent.,gender,3501
"elle ne répond pas à tes messages ? va en dm une autre. elle n’est ni spéciale ni unique. ne gaspille pas inutilement de l’énergie. ton temps est précieux. si elle ne l’a pas compris, elle ne le mérite pas.",gender,3519
"si une femme vous crée des embrouilles et des disputes sans raison, c’est parce qu’elle s’ennuie avec vous et cherche à se distraire. ses ex petits-amis toxiques lui manquent.",gender,3547
les trans maniaques en roue libre.,gender,3609
"les femmes sont indécises par nature, c’est pourquoi ce sont les hommes qui doivent commander.",gender,3631
ceux qui ne la connaissent pas devraient lire l’histoire de la vie de geneviève de galard …. une autre époque qui semble si lointaine .,gender,3716
":camera_with_flash: valérie enjambe ces piles de livres depuis 40 ans. ""impossible d'y mettre de l'ordre"", se résigne t-elle en feuilletant sa dernière acquisition, une édition originale des fables de la fontaine. la librairie chanut fut d'abord celle de ses parents. à l'époque, valérie",gender,3731
"et masochiste avec ça. alors oui, on peut donner des leçons de féminisme à ce gouvernement, et pas seulement parce qu’il rabaisse sa candidate. surtout parce qu’il est incapable d’assurer le premier des droits des femmes : être en sécurité dans l’espace public.",gender,3809
"[temoignage] exclusif : une femme dans l’enfer calédonien - par nouvellecalédonie ""les insurgés continuent d’agir exactement comme avant le passage de monsieur macron : barrages filtrants, feux..,""",gender,3842
"josiane a le pouvoir de me faire rire, ce qui n'est pas évident sur ce réseau social.",gender,3901
"s'ils se tenaient un peu au courant de l'actualité, c'est le rayon lgbt tout entier qu'ils placeraient quelque part entre ""occultisme"" et ""psychiatrie""",gender,3903
":georgia: en géorgie, le parti au pouvoir a présenté une loi nommée « contre la propagande lgbt auprès des mineurs et pour la protection des valeurs familiales » : contre le mariage et l'adoption :rainbow_flag:, contre le changement de sexe, pour l'introduction d'un jour de la « sainteté de la",gender,3912
"plus elle est masculine, plus elle recherche un homme qui soit plus viril et dominant qu’elle. les femmes cherchent toutes celui qui réussira à leur tenir tête.",gender,3919
"contrôle de qualité, service après-vente, remplacement de produit défectueux : derrière les images glamour, la gpa c’est l’horreur de la marchandisation des enfants et le commerce des ventres des femmes. un progrès, vraiment ?? gpa",gender,3961
"transmania : sujet interdit. par la voix d'énora malagré, le service public (nos impôts) s'aligne à son tour sur le transactivisme de censure, et en appelle à l'arcom... francetv n'admet pas qu'on dise qu'une femme est une femme, et que peut-être les bloqueurs de puberté ne sont",gender,3962
":police_car_light: brigitte macron brings forward of the hearing in her case against natacha rey ( via ) brigitte macron’s and her brother jean-michel trogneux’s libel trial against natacha rey, the woman who claims that the first lady is a man, was due to take place in…",gender,4016
quand on ose dire qu’être une femme est une réalité biologique en 2024 et que c’est peut-être pas une bonne idée de castrer chimiquement des mômes :,gender,4079
je suis partagé entre un rire nerveux et un profond soupir.,gender,4148
"nous portons plainte, car il est grand temps, que l'appel à brûler ou à tuer les femmes qui pensent qu'être une femme est une réalité biologique et non pas un ressenti soit enfin puni en france!",gender,4172
"quand les gens me disent « faut porter plainte » à chacun de mes tweets, bah je suis d’accord, mais seulement si y’a un commissariat qui veut bien me donner un lit et un oreiller, car vu que je dois déposer plainte tous les matins vu les dingueries des transgenristes, autant…",gender,4260
"vous ne devriez jamais l'inviter au restaurant tant que vous n'êtes pas sûr que son intérêt pour vous est réel. si vous n'avez pas concrétisé, tenez-vous en au café.",gender,4279
"les féministes, si elles étaient cohérentes et honnêtes, devraient être vent debout, dénoncer la dernière entourloupe du patriarcat qui pratique le womanface - surjouant les clichés sexistes -, et se rend coupable d’appropriation biologique : un prix réservé aux femmes leur a…",gender,4324
"livreblanc &gt; les recommandations de lsf pour l'abolition de la gpa : :keycap_3: obtenir une condamnation unanime de toutes les formes de gestation pour autrui. rémunérée ou gratuite, l'exploitation d'une femme est toujours scandaleuse.",gender,4440
la gestation pour autrui est formellement reconnue par le parlement européen comme une forme d'exploitation reproductive ! :clapping_hands: areyouoneofus surrogacy humantrafficking,gender,4449
"ce n’est pas une déesse, ni une reine, ni une princesse. c’est un être humain comme toi, avec ses complexes. il y en a des millions comme elle. alors arrête d’être intimidé par les femmes et de les mettre sur un piédestal.",gender,4452
"le 25 novembre, ce sera la journée internationale de lutte contre les violences faites aux femmes. quelle pire violence que celle de la gpa qui considère la femme comme un simple outil de reproduction que l’on peut louer, peu importent les conséquences physiques et psychiques ?",gender,4482
"le premier épisode de notre émission de témoignages ""contre discours sur les questions de genre"" vient de sortir sur notre chaine ! :speaking_head: alexandra est une personne dite intersexe qui s’oppose à l’idéologie transgenre à qui nous avons déjà donné la parole dans notre…",gender,4499
"les femmes vivent plus longtemps que les hommes, et la science semble enfin avoir trouvé pourquoi",gender,4552
"dites rima hassan, vous en êtes où de votre combat pour les droits des lgbt à gaza ? êtes-vous en contact avec le ministère des minorités sexuelles du hamas pour parler pma et gpa ? a quand une délégation de lfistes à gaza pour parler mariage homosexuel ? votre…",gender,4564
"marseille le 15 juin, les habitants du 12eme arrondissement réveillés au son du muezzin pour la fête de l'aïd : bonne mère !",gender,4587
mineurs transgenres : que sont les bloqueurs de puberté ?,gender,4590
"si vous ne vous voyez pas vous-même comme sa meilleure option, comment le pourrait-elle ? la condition sine qua none à la fidélité d'une femme, c'est sa certitude absolue que vous êtes irremplaçable. devenez cet homme-là et agissez comme lui.",gender,4643
ça vire à la blague.,gender,4696
"après l'enseignante, voici l'avocate. en écosse, dire que ces personnes ne sont pas des femmes pourra désormais être considéré comme un ""crime haineux"". voilà pourquoi il faut lire transmania",gender,4698
à mourir de rire !,gender,4701
"marie cau, maire transgenre, me traite de nazi, car je dis qu’il existe 2 sexes et qu’une femme est une femelle adulte humaine, ce qu’il ne sera jamais. cet homme m’a attaqué en justice pour « appel à la haine » avec des assos lgbt car j’ai dit qu’il est un homme transféminin, et…",gender,4708
"la gpa est un contrat en vue de la conception, de la gestation, de l’abandon et de la remise d’un enfant par une femme à des commanditaires. c'est un véritable trafic d'êtres humains qu'il faut condamner fermement et interdire. :raised_fist: mobilisons-nous tous jeudi 16 novembre à paris",gender,4715
":red_circle: appelle à un engagement international pour interdire la gpa. ""le respect de la vie, de chaque vie humaine, à commencer par celle de l'enfant à naître dans le ventre de la mère, ne peut être supprimé ou devenir objet de commercialisation.""",gender,4752
